owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1502,"Low Income Home Energy Assistance, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,577482.22,3382736.14,8212800960.00,0.00,0.00,0.00,0.00,8216761178.36,8215601749.46,36478741.23,1159428.90,4416645951.11,8216761178.36,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1503,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,1454930047.84,501649355.84,4120282560.00,0.00,0.00,2116852642.00,2116852642.00,8193714605.68,7551934373.85,552539339.43,641780231.83,6230738919.10,8193714605.68,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1505,"Payments to States for Child Support Enforcement and Family Support Programs - Recovery Act, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Training and employment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1512,"Promoting Safe and Stable Families, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,96327962.91,6170993.31,642850000.00,0.00,0.00,0.00,0.00,745348956.22,653392898.67,36950382.38,91956057.55,536102148.61,745348956.22,2021-11-12
Department of Health and Human Services,Department of Health and Human Services;Department of the Interior,FY2021P12,075-1515,"Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,12623941.51,1683643.79,54878183543.00,0.00,0.00,0.00,0.00,54892491128.30,54838198464.25,18360388.57,54292664.05,12121490622.36,54892491128.30,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1522,"Contingency Fund for State Welfare Programs, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,34150627.00,13723307.90,608000000.00,0.00,0.00,0.00,0.00,655873934.90,621723307.90,16418291.90,34150627.00,601324934.37,655873934.90,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1523,"Emergency Contingency Fund for State Temporary Assistance for Needy Family Programs - Recovery Act, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,426453104.12,0.00,0.00,0.00,0.00,0.00,0.00,426453104.12,0.00,0.00,426453104.12,3016882.35,426453104.12,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1534,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,37714941.69,-290187.30,1620903500.00,0.00,0.00,0.00,0.00,1658328254.39,1605857304.30,16295584.73,52470950.09,1654456594.90,1658328254.39,2021-11-12
Department of Health and Human Services,Department of Education;Department of Health and Human Services;Department of the Interior,FY2021P12,075-1536,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,925857864.70,91270717.63,16248511000.00,0.00,0.00,11253931.24,11253931.24,17276893513.57,16605089859.42,297711402.38,671803654.15,13218731634.21,17276893513.57,2021-11-15
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1545,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,800150.34,742162483.36,10414435320.00,0.00,0.00,0.00,0.00,11157397953.70,10313576721.38,234176154.16,843821232.32,9712958342.09,11157397953.70,2021-11-12
Department of Health and Human Services,Department of Health and Human Services;Department of the Interior,FY2021P12,075-1550,"Child Care Entitlement to States, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,1254039.10,3276878.43,3550000000.00,0.00,0.00,0.00,0.00,3554530917.53,3553398649.35,55025063.23,1132268.18,3154881583.36,3554530917.53,2021-11-12
Department of Health and Human Services,Department of Commerce;Department of Health and Human Services;Department of the Interior,FY2021P12,075-1552,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,476536992.10,6391187.24,17737954062.00,0.00,0.00,0.00,0.00,18220882241.34,17716171577.90,6391187.24,504710663.44,15382760954.93,18220882241.34,2021-11-15
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1553,"Children's Research and Technical Assistance, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,Income Security,Other income security,7189463.91,3649238.94,34846334.00,0.00,0.00,27236602.00,27236602.00,72921638.85,65441782.00,4103879.52,7479856.85,71572295.27,72921638.85,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1700,"Healthcare Research and Quality, Agency for Healthcare Research and Quality, Health and Human Services",Department of Health and Human Services,Health,Health research and training,30148738.91,-2787674.36,336985242.00,0.00,0.00,21466245.33,21466245.33,385812551.88,357602402.68,6094190.47,28210149.20,354932617.67,385812551.88,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-1806,"Payments to Federal Hospital Insurance Trust Fund, Health Care Fraud and Abuse, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,0.00,0.00,217527368.01,0.00,0.00,0.00,0.00,217527368.01,217527368.01,0.00,0.00,217527368.01,217527368.01,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-3902,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health research and training,0.00,14326987.82,0.00,0.00,0.00,526461012.18,526461012.18,540788000.00,540788000.00,14326987.82,0.00,617742219.16,540788000.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-3921,"Consolidated Working Fund, Indian Health Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-3965,"Grants Management Fund, Departmental Management, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-3966,"Management Fund, National Institutes of Health",Department of Health and Human Services,Health,Health research and training,141243107.45,20017023.53,0.00,0.00,0.00,984659199.49,984659199.49,1145919330.47,964656849.57,29288709.91,181262480.90,935871597.17,1145919330.47,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-4309,"Revolving Fund for Certification and Other Services, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,Health,Consumer and occupational health and safety,2351861.96,19273.68,0.00,0.00,0.00,8124785.57,8124785.57,10495921.21,9143273.38,19273.68,1352647.83,9755021.99,10495921.21,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-4552,"HHS Service and Supply Fund, Program Support Center, Health and Human Services",Department of Health and Human Services,Health,Health care services,198490685.92,117113454.74,0.00,0.00,0.00,1009311185.32,1009311185.32,1324915325.98,1060234250.51,117113454.74,264681075.47,939513532.60,1324915325.98,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-4553,"CDC Working Capital Fund, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,Health,Health care services,125416049.18,18991154.22,0.00,0.00,0.00,822695366.51,822695366.51,967102569.91,734557957.46,18991154.22,232544612.45,663388394.22,967102569.91,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-4554,"Service and Supply Fund, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,424472521.60,79163612.16,0.00,0.00,0.00,2652353239.23,2652353239.23,3155989372.99,2639304412.62,79163612.16,516684960.37,2555792307.19,3155989372.99,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-4613,"FDA Working Capital Fund, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,Health,Consumer and occupational health and safety,32412274.84,7448469.36,0.00,0.00,0.00,635647257.00,635647257.00,675508001.20,653983036.21,7448469.36,21524964.99,640330034.62,675508001.20,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5071,"Operation and Maintenance of Quarters, Indian Health Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,12703153.79,1538154.50,10002535.29,0.00,0.00,0.00,0.00,24243843.58,9705343.98,1538154.50,14538499.60,8313493.29,24243843.58,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5145,"Cooperative Research and Development Agreements, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,94602766.06,1185913.84,53660135.71,0.00,0.00,0.00,0.00,149448815.61,46584240.95,1185913.84,102864574.66,43408892.45,149448815.61,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5146,"Cooperative Research and Development Agreements, Centers for Disease Control, Health and Human Services",Department of Health and Human Services,Health,Health research and training,5059574.76,407129.05,2279489.71,0.00,0.00,0.00,0.00,7746193.52,1455246.31,407129.05,6290947.21,1425213.26,7746193.52,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5148,"Cooperative Research and Development Agreements, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,Health,Consumer and occupational health and safety,6621591.42,53629.31,1650339.00,0.00,0.00,0.00,0.00,8325559.73,1544636.78,53629.31,6780922.95,1119439.89,8325559.73,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5551,"Child Enrollment Contingency Fund, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,4913002712.85,-4913002712.85,1979737879.99,0.00,0.00,0.00,0.00,1979737879.99,0.00,0.00,1979737879.99,0.00,1979737879.99,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5627,"State Response to the Opioid Abuse Crisis, CURES Act, Departmental Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5628,"NIH Innovation, CURES Act, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,63342876.63,201.61,109000000.00,0.00,0.00,0.00,0.00,172343078.24,96398247.41,201.61,75944830.83,167521255.49,172343078.24,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5629,"FDA Innovation, CURES Act, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,Health,Consumer and occupational health and safety,48362719.58,130044.11,70000000.00,0.00,0.00,0.00,0.00,118492763.69,68531946.36,130044.11,49960817.33,64031539.60,118492763.69,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5733,"Risk Adjustment Program Payments, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,410438073.92,0.00,6842004870.40,0.00,0.00,0.00,0.00,7252442944.32,6341305301.71,0.00,911137642.61,6975342833.51,7252442944.32,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5735,"Transitional Reinsurance Program, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,7043890.90,5623860.22,1065383.40,0.00,0.00,0.00,0.00,13733134.52,349999.29,5623860.22,13383135.23,102225.29,13733134.52,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5736,"10-Year Pediatric Research Initiative Fund, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-5745,"Debt Collection Fund, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health care services,4136189.41,22490.84,0.00,0.00,0.00,9215104.75,9215104.75,13373785.00,8387768.98,22490.84,4986016.02,9555419.08,13373785.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-6079,"Personal Funds and Earnings of Patients, National Institutes of Health",Department of Health and Human Services,Governmental Receipts,Governmental Receipts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-6275,"Withheld State and Local Taxes, Departmental Management",Department of Health and Human Services,Governmental Receipts,Governmental Receipts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-6276,"Other Federal Payroll Withholding, Allotments, Departmental Management",Department of Health and Human Services,Governmental Receipts,Governmental Receipts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8004,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,0.00,14959788896.75,372514247446.93,45697073359.00,0.00,0.00,45697073359.00,433171109702.68,433171109702.68,14814293569.70,0.00,431747922122.46,433171109702.68,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8005,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,0.00,22763652794.73,362712600085.34,0.00,0.00,0.00,0.00,385476252880.07,385476252880.07,22682216219.67,0.00,380351546444.83,385476252880.07,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8073,"Contributions, Indian Health Facilities, Indian Health Services, Health and Human Services",Department of Health and Human Services,Health,Health care services,11824393.80,739072.62,2852385.91,0.00,0.00,0.00,0.00,15415852.33,2998830.21,739072.62,12417022.12,6846831.35,15415852.33,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8175,"Vaccine Injury Compensation Trust Fund - Treasury Managed, Health and Human Services",Department of Health and Human Services,Health,Health care services,0.00,0.00,286511897.86,0.00,0.00,0.00,0.00,286511897.86,286511897.86,9740406.07,0.00,283436180.22,286511897.86,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8248,"National Institutes of Health Unconditional Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,50108495.72,3776.14,5034140.50,0.00,0.00,3010.00,3010.00,55149422.36,942845.09,3776.14,54206577.27,2051728.01,55149422.36,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8249,"Unconditional Gift Fund, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,147757.52,0.00,0.00,0.00,0.00,0.00,0.00,147757.52,0.00,0.00,147757.52,0.00,147757.52,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8250,"Gifts and Donations, Centers for Disease Control, Health and Human Services",Department of Health and Human Services,Health,Health care services,24099757.80,3434448.55,20796432.28,0.00,0.00,0.00,0.00,48330638.63,25320334.33,3434448.55,23010304.30,20625374.99,48330638.63,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8253,"National Institutes of Health Conditional Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,91848127.02,1510620.99,43549391.89,0.00,0.00,0.00,0.00,136908139.90,29444899.60,1510620.99,107463240.30,35482904.71,136908139.90,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8254,"Conditional Gift Fund, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,3674566.32,26667.13,0.00,0.00,0.00,0.00,0.00,3701233.45,101438.71,26667.13,3599794.74,124621.81,3701233.45,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8308,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,0.00,2000857.41,99640031710.51,0.00,0.00,1807445066.29,1807445066.29,101449477634.21,101449477634.21,2000857.41,0.00,98620552686.42,101449477634.21,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8393,"Health Care Fraud and Abuse Control Account, Health and Human Services",Department of Health and Human Services,Medicare,Medicare,625733283.39,65525576.52,2186859712.27,0.00,0.00,0.00,0.00,2878118572.18,2389808416.83,65525560.52,488310155.35,2118057060.45,2878118572.18,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8510,"Administration on Aging Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,310491.36,0.00,0.00,0.00,0.00,0.00,0.00,310491.36,0.00,0.00,310491.36,0.00,310491.36,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8511,"Indian Health Service Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,953005.44,6744.68,219702.75,0.00,0.00,0.00,0.00,1179452.87,149555.94,6744.68,1029896.93,146987.75,1179452.87,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8512,"Agency for Healthcare Research and Quality Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,236405.73,0.00,0.00,0.00,0.00,0.00,0.00,236405.73,3091.23,0.00,233314.50,3091.23,236405.73,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8513,"Substance Abuse and Mental Health Administration Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,289482.18,0.00,0.00,0.00,0.00,0.00,0.00,289482.18,0.00,0.00,289482.18,0.00,289482.18,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8514,"Office of the Secretary Gift Fund, Health and Human Services",Department of Health and Human Services,Health,Health care services,204125.26,0.00,930399.00,0.00,0.00,0.00,0.00,1134524.26,929862.00,0.00,204662.26,380895.73,1134524.26,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8888,"Patients' Benefit Fund, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health care services,478222.73,2940.00,420.61,0.00,0.00,0.00,0.00,481583.34,11275.00,2940.00,470308.34,6485.00,481583.34,2021-11-12
Department of Health and Human Services,Department of Health and Human Services,FY2021P12,075-8889,"Patients' Benefit Fund, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,Health,Health care services,369977.89,100.00,4173.00,0.00,0.00,0.00,0.00,374250.89,1293.00,100.00,372957.89,213.00,374250.89,2021-11-12
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-0110,"Program Account, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,12282413.12,51722036.26,460236457.72,0.00,0.00,60000000.00,60000000.00,584240907.10,538572514.98,7096534.94,45668392.12,487274781.73,584240907.10,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-0111,"Inspector General, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,1578012.00,0.00,2000000.00,0.00,0.00,0.00,0.00,3578012.00,2435769.76,0.00,1142242.24,1685574.32,3578012.00,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-0400,"Program Account, Microenterprise and Small Enterprise Development, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,2820398.21,0.00,0.00,0.00,0.00,0.00,0.00,2820398.21,0.00,0.00,2820398.21,0.00,2820398.21,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-0401,"Program Account, Urban and Environmental Credit, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,2154255.07,0.00,131028.26,0.00,0.00,0.00,0.00,2285283.33,131028.26,0.00,2154255.07,131028.26,2285283.33,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-4103,"Economic Assistance Loans Liquidating Account, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,229076877.22,-229076877.22,0.00,0.00,0.00,7177236.94,7177236.94,7177236.94,0.00,0.00,7177236.94,0.00,7177236.94,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-4340,"Housing and Other Credit Guaranty Programs Liquidating Account, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,6306101.49,-6306101.49,3992836.84,0.00,0.00,718385.76,718385.76,4711222.60,3811061.81,0.00,900160.79,3811061.81,4711222.60,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-4341,"Liquidating Account, Microenterprise and Small Enterprise Development, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2021-11-15
U.S. International Development Finance Corporation,U.S. International Development Finance Corporation,FY2021P12,077-4483,"Corporate Capital Account, United States International Development Finance Corporation",U.S. International Development Finance Corporation,International Affairs,International development and humanitarian assistance,6186049979.98,46933520.35,128133760.54,0.00,0.00,487809756.60,487809756.60,6848927017.47,420412828.49,34083987.13,6428514188.98,276601660.46,6848927017.47,2021-11-15
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0109,"Office of Inspector General, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",2104441.45,469290.57,44200000.00,0.00,0.00,1247366.11,1247366.11,48021098.13,44171197.27,679499.11,3849900.86,42258408.63,48021098.13,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0111,"Human Space Flight, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",9858137.01,0.00,0.00,0.00,0.00,0.00,0.00,9858137.01,0.00,0.00,9858137.01,0.00,9858137.01,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0115,"Space Operations, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",168716679.89,120655870.42,3986860000.00,0.00,0.00,-0.01,-0.01,4276232550.30,3926292078.84,123452557.02,349940471.46,3903397610.12,4276232550.30,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0120,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",654403238.32,48433807.52,7297310000.00,0.00,0.00,0.00,0.00,8000147045.84,7105280504.33,56867345.07,894866541.51,6770526318.36,8000147045.84,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0122,"Safety, Security and Mission Services, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",945295459.70,52319706.12,2936500000.00,0.00,0.00,1328075506.12,1328075506.12,5262190671.94,4496427509.80,55700567.22,765763162.14,4533715227.30,5262190671.94,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0124,"Exploration, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",208757571.52,43589217.93,6511500000.00,0.00,0.00,0.00,0.00,6763846789.45,6591160581.15,39753062.72,172686208.30,6230694821.65,6763846789.45,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0126,"Aeronautics, National Aeronautics and Space Administration",National Aeronautics and Space Administration,Transportation,Air transportation,31724346.81,6555984.13,828700000.00,0.00,0.00,0.00,0.00,866980330.94,845086164.52,9244068.03,21894166.42,762840451.53,866980330.94,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0128,"Science, Technology, Engineering, and Mathematics Engagement, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",11816805.08,950762.93,127000000.00,0.00,0.00,0.00,0.00,139767568.01,129250560.91,1844332.57,10517007.10,117851564.58,139767568.01,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0130,"Construction and Environmental Compliance and Restoration, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",290918039.23,14075834.05,439208000.00,0.00,0.00,21075155.22,21075155.22,765277028.50,426342248.01,21610094.20,338934780.49,398997442.86,765277028.50,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-0131,"Space Technology, National Aeronautics Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",88654169.18,20559977.87,1100000000.00,0.00,0.00,0.00,0.00,1209214147.05,1175113312.01,24605267.80,34100835.04,1068062324.38,1209214147.05,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-4546,"Working Capital Fund, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",26664710.17,3197816.55,0.00,0.00,0.00,524840114.88,524840114.88,554702641.60,499935821.52,3197816.55,54766820.08,490131585.78,554702641.60,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-8550,"Endeavor Teacher Fellowship Trust Fund, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,63977.08,0.00,300.81,0.00,0.00,0.00,0.00,64277.89,0.00,0.00,64277.89,0.00,64277.89,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-8977,"National Space Grant Program, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",108132.62,0.00,0.00,0.00,0.00,0.00,0.00,108132.62,108132.62,0.00,0.00,108132.62,108132.62,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-8978,"Science, Space and Technology Education Trust Fund, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,0.00,0.00,791672.22,0.00,0.00,0.00,0.00,791672.22,750000.00,0.00,41672.22,750000.00,791672.22,2021-11-06
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2021P12,080-8980,"Gifts and Donations, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,552569.91,0.00,800.00,0.00,0.00,0.00,0.00,553369.91,0.00,0.00,553369.91,50000.00,553369.91,2021-11-06
Export-Import Bank of the United States,Export-Import Bank of the United States,FY2021Q4,083-0100,"Administration Expenses, Export-Import Bank of the United States",Export-Import Bank of the United States,International Affairs,International financial programs,378834816.31,-134877040.42,761744840.34,0.00,0.00,89646606.46,89646606.46,1095349222.69,853683068.96,18960089.93,241666153.73,831332752.62,1095349222.69,2021-11-19
