"Company","Parent","Penalty","Year","Date","Agency","Market_cap","Ticker","price","price_at_time","Market_cap_at_time","Penalty_scaled"
"Union Pacific Railroad Company","union pacific",28000,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.54536475077438e-06
"Union Pacific Railroad Company","union pacific",26925,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.5448064324598e-06
"Norfolk Southern Railway Company","norfolk southern",23800,2008,2008-09-26,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,67.870002746582,15426427368.2026,1.54280699166012e-06
"Alltel Communications Inc.","verizon communications",275000,2007,2007-10-03,"Office of Federal Contract Compliance Programs",174437320491.803,"VZ",41.2799987792969,42.3270034790039,178861659148.78,1.53750111292018e-06
"BOEING COMMERCIAL AIRPLANES","boeing",70400,2008,2008-01-10,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,80.3000030517578,45813047150.1257,1.53668014636322e-06
"Wells Fargo Bank, N.A.","wells fargo",290000,2014,2014-09-15,"Equal Employment Opportunity Commission",180655509426.229,"WFC",49.4900016784668,51.7000007629395,188722765374.83,1.53664556273335e-06
"J.P. Morgan Securities, Inc.","jpmorgan chase",160000,2005,2005-06-29,"Financial Industry Regulatory Authority",495457747131.148,"JPM",170.5,35.9199981689453,104380301288.801,1.53285627675388e-06
"THE BOEING COMPANY","boeing",85000,2007,2007-10-31,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,97.3300018310547,55529063431.4654,1.5307299411759e-06
"First Niagara Bank, National Association","keycorp",10000,2011,2011-10-26,"Office of the Comptroller of the Currency",13604215163.9344,"KEY",14.4399995803833,6.94000005722046,6538314180.0367,1.52944623409698e-06
"Norfolk Southern Railway Company","norfolk southern",23500,2008,2008-09-26,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,67.870002746582,15426427368.2026,1.52335984470642e-06
"The Louisiana Land and Exploration Company","conocophillips",30000,2000,2000-03-22,"Bureau of Safety and Environmental Enforcement",130891911065.574,"COP",109.669998168945,16.5803852081299,19788805893.4065,1.51600860413694e-06
"AVIALL, INC","boeing",55250,2011,2011-10-17,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,63.8899993896484,36450752717.5666,1.51574373314309e-06
"Merrill Lynch Investment Managers, LLC and Merrill Lynch Alternative Investments, LLC","bank of america",5e+05,2007,2007-07-31,"Commodity Futures Trading Commission",228235527459.016,"BAC",32.9799995422363,47.7000007629395,330104153578.977,1.51467345860093e-06
"SFPP LP","kinder morgan",103300,2012,2012-04-25,"Pipeline and Hazardous Materials Safety Administration",32833451639.3443,"KMI",16.8899993896484,35.0900001525879,68213491099.3956,1.51436319025922e-06
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","bank of america",3e+05,2019,2019-09-10,"Commodity Futures Trading Commission",228235527459.016,"BAC",32.9799995422363,28.6299991607666,198131687395.58,1.51414447604756e-06
"MCKESSON MEDICA-SURGICAL","mckesson",48000,2015,2015-06-04,"Federal Aviation Administration",64868613934.4262,"MCK",485,237.020004272461,31701359076.0543,1.51413066817873e-06
"EXXONMOBIL REFINING AND SUPPLY COMPANY","exxon mobil",566600,2015,2015-02-18,"Occupational Safety & Health Administration",401020364344.262,"XOM",99.5999984741211,93.0500030517578,374648059214.038,1.5123526895846e-06
"HOPKINTON LNG CO","eversource energy",19688,2012,2012-04-02,"Pipeline and Hazardous Materials Safety Administration",18690740573.7705,"ES",53.1599998474121,37.1199989318848,13051171409.4422,1.50852359396308e-06
"Norfolk Southern Railway","norfolk southern",22000,2012,2012-09-28,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,64.1800003051758,14587712879.5147,1.50811852287649e-06
"Buehler Ltd.","illinois tool works",20000,2008,2008-02-22,"Office of Foreign Assets Control",71165727459.0164,"ITW",258.600006103516,48.3199996948242,13297478143.6204,1.50404458529568e-06
"Tyson Fresh Meats, Inc.,","tyson foods",7500,2011,2011-08-04,"Grain Inspection, Packers & Stockyards Administration",15327402049.1803,"TSN",53.1800003051758,17.3099994659424,4989043244.88642,1.50329424538206e-06
"Norfolk Southern Railway Company","norfolk southern",23110,2008,2008-09-26,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,67.870002746582,15426427368.2026,1.49807855366662e-06
"Union Pacific Railroad","union pacific",39000,2011,2011-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,42.6100006103516,26108820340.9865,1.49374807021735e-06
"MARATHON PIPE LINE LLC","marathon petroleum",30200,2014,2014-04-16,"Pipeline and Hazardous Materials Safety Administration",72481548360.6557,"MPC",155.100006103516,43.2900009155273,20230342820.2154,1.49280712978439e-06
"Union Pacific Railroad","union pacific",55000,2012,2012-09-26,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,60.189998626709,36880775356.9287,1.49129185782336e-06
"Apache Corporation","apa corporation",50000,2008,2008-07-25,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,108.870002746582,33653694742.9749,1.48572097007082e-06
"Union Pacific Railroad","union pacific",37400,2010,2010-09-29,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,41.1500015258789,25214221578.9945,1.48328989189011e-06
"Chemguard, Inc.","johnson controls",22000,2011,2011-08-18,"Bureau of Industry and Security",37701701229.5082,"JCI",55.0200004577637,21.6693954467773,14848656237.0282,1.48161555152301e-06
"Valero Renewable Fuels Company","valero energy",35000,2016,2016-01-12,"Alcohol and Tobacco Tax and Trade Bureau",44538954918.0328,"VLO",130.149993896484,69.0699996948242,23636617340.4747,1.48075333690269e-06
"Newmont Corporation","newmont corporation",141442,2022,2022-04-21,"Office of Foreign Assets Control",39948585655.7377,"NEM",34.439998626709,82.5899963378906,95800048622.8987,1.47642931327481e-06
"Norfolk Southern Railway Company","norfolk southern",44500,2017,2017-09-29,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,132.789993286133,30182335402.304,1.47437232430341e-06
"Union Pacific Railroad Company","union pacific",26700,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.47361567305986e-06
"Honeywell International Inc.","honeywell international",191995,2023,2023-05-23,"Justice Department Civil Rights Division",132443272540.984,"HON",199.869995117188,196.929992675781,130495088450.67,1.47128142736635e-06
"Kerr-McGee Corporation","occidental petroleum",7500,2000,2000-03-02,"Bureau of Safety and Environmental Enforcement",38036308606.5574,"OXY",57.310001373291,7.69443082809448,5106748185.58994,1.46864496298511e-06
"Union Pacific Railroad","union pacific",37000,2010,2010-09-29,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,41.1500015258789,25214221578.9945,1.46742582887524e-06
"Union Pacific Railroad","union pacific",54000,2012,2012-09-26,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,60.189998626709,36880775356.9287,1.46417746040838e-06
"Verizon New Jersey, Inc.","verizon communications",2e+05,2004,2004-06-29,"National Labor Relations Board",174437320491.803,"VZ",41.2799987792969,32.3396453857422,136657976103.75,1.46350769784679e-06
"Newmont USA Limited","newmont corporation",60000,2008,2008-12-11,"Mine Safety and Health Administration",39948585655.7377,"NEM",34.439998626709,35.3800010681152,41038939010.6881,1.46202610121996e-06
"Pepperidge Farm, Inc.","campbell soup",7500,2004,2004-06-21,"Nuclear Regulatory Commission",8743775819.67213,"CPB",44.1199989318848,25.8999996185303,5132905618.23565,1.46116070658981e-06
"J.P. Morgan Securities, Inc.","jpmorgan chase",150000,2005,2005-06-10,"Financial Industry Regulatory Authority",495457747131.148,"JPM",170.5,35.5,103159824182.732,1.45405443629196e-06
"FedEx Corp.","fedex",58600,2015,2015-05-27,"Federal Aviation Administration",58064656557.377,"FDX",249.729995727539,174.110000610352,40482271099.2019,1.44754724497548e-06
"CSX Transportation Inc.","csx",24800,2013,2013-09-27,"Federal Railroad Administration",68308821721.3115,"CSX",34.3899993896484,8.65999984741211,17201349118.4161,1.44174737860815e-06
"Varian A.G.","agilent technologies",8800,2006,2006-07-26,"Bureau of Industry and Security",38170727049.1803,"A",129.779998779297,20.8583698272705,6134837023.08842,1.43443093384246e-06
"BOEING COMPANY","boeing",60000,2012,2012-11-14,"Federal Aviation Administration",122166222131.148,"BA",214.130004882812,73.3600006103516,41853611944.8094,1.43356802942407e-06
"Apache Corporation","apa corporation",40000,2013,2013-10-18,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,90.5699996948242,27996831502.7588,1.42873310488933e-06
"Union Pacific Railroad Company","union pacific",24900,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.42862321887648e-06
"McMoran Oil & Gas LLC","freeport-mcmoran",60000,2014,2014-11-25,"Bureau of Safety and Environmental Enforcement",57309118032.7869,"FCX",39.7200012207031,29.1100006103516,42000715247.803,1.42854710082916e-06
"Merck & Company, Inc.","merck",289755,2019,2019-09-27,"Office of Federal Contract Compliance Programs",302795834426.229,"MRK",118.879997253418,80.0381698608398,203862928910.561,1.42132265806463e-06
"Western Wireless","verizon communications",2e+05,2003,2003-05-12,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,33.3288993835449,140838277018.61,1.42006849440208e-06
"Verizon Long Distance","verizon communications",250000,2000,2000-10-17,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,41.7623023986816,176475395916.145,1.4166280727246e-06
"Anadarko Petroleum","occidental petroleum",8500,2000,2000-07-26,"Bureau of Safety and Environmental Enforcement",38036308606.5574,"OXY",57.310001373291,9.04170513153076,6000926164.21881,1.41644802275392e-06
"UPS Inc.","united parcel service",120000,2020,2020-01-24,"Federal Aviation Administration",113828579098.361,"UPS",156.580001831055,116.930000305176,85004314938.4436,1.41169304272258e-06
"Apache Corporation","apa corporation",28000,2006,2006-03-10,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,64.2399978637695,19857749828.7473,1.41002884221381e-06
"Microsoft Corporation","microsoft",2980265,2023,2023-04-06,"Office of Foreign Assets Control",3007351627049.18,"MSFT",402.559997558594,284.339996337891,2124181130285.92,1.40301830079756e-06
"Becton Dickinson & Co.","becton dickinson",89678,2020,2020-09-29,"Office of Federal Contract Compliance Programs",68462560245.9016,"BDX",234.570007324219,219.512191772461,64067724707.7033,1.39973754974347e-06
"Bell Atlantic NYNEX Mobile, Inc.","verizon communications",256000,2001,2001-03-30,"National Labor Relations Board",174437320491.803,"VZ",41.2799987792969,43.3473587036133,183173384841.465,1.39758295246641e-06
"Omnicare, Inc.","cvs health",138513,2014,2014-07-14,"Health & Human Services Department Office of Inspector General",95779100819.6721,"CVS",74.1900024414062,76.9000015258789,99277702612.2509,1.3952075476705e-06
"PREMCOR PIPELINE COMPANY","valero energy",22000,2006,2006-02-16,"Pipeline and Hazardous Materials Safety Administration",44538954918.0328,"VLO",130.149993896484,46.2248611450195,15818725341.3768,1.39075681037681e-06
"Apache Corporation","apa corporation",40000,2014,2014-09-26,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,93.3099975585938,28843814596.1491,1.38677912613335e-06
"FEDERAL EXPRESS CORP","fedex",70000,2017,2017-11-21,"Federal Aviation Administration",58064656557.377,"FDX",249.729995727539,217.25,50512741172.0813,1.38578897869612e-06
"Bank of New York","bank of new york mellon",24750,2003,2003-04-04,"Office of Foreign Assets Control",42446631147.541,"BK",54.9099998474121,23.4259052276611,18108737229.2653,1.36674356067202e-06
"Dominion Energy Kewaunee, Inc.","dominion energy",70000,2013,2013-04-30,"Nuclear Regulatory Commission",37138952459.0164,"D",44.1500015258789,61.2099990844727,51489811267.2129,1.35949226220166e-06
"American Airlines","american airlines",20000,2013,2013-11-07,"Transportation Department Aviation Consumer Protection Division",9150319672.13115,"AAL",13.9300003051758,22.3999996185303,14714081311.9014,1.3592421827806e-06
"FEDERAL EXPRESS CORP","fedex",54000,2015,2015-07-14,"Federal Aviation Administration",58064656557.377,"FDX",249.729995727539,170.970001220703,39752190655.2442,1.35841570262936e-06
"COMCAST MO OF DELAWARE, LLC","comcast",152628,2015,2015-01-22,"National Labor Relations Board",176791081967.213,"CMCSA",43.7999992370605,27.8850002288818,112552955410.756,1.3560550182178e-06
"Caterpillar, Inc.","caterpillar inc.",18000,2003,2003-04-04,"Office of Foreign Assets Control",149051143852.459,"CAT",290.679992675781,25.8999996185303,13280668316.3297,1.35535347854953e-06
"UNITED PARCEL SERVICE CO","united parcel service",50000,2001,2001-10-30,"Federal Aviation Administration",113828579098.361,"UPS",156.580001831055,50.8400001525879,36959029959.4809,1.35284935927204e-06
"Invitrogen Corporation","thermo fisher scientific",30000,2007,2007-09-24,"Bureau of Industry and Security",209678794262.295,"TMO",539.989990234375,57.4199981689453,22296257709.1141,1.34551727879144e-06
"OKTEX PIPELINE COMPANY LLC","oneok",16200,2010,2010-06-16,"Pipeline and Hazardous Materials Safety Administration",40377327049.1803,"OKE",68.8600006103516,20.5436878204346,12046168959.7669,1.34482589893156e-06
"Bank of New York","bank of new york mellon",34623,2004,2004-02-04,"Office of Foreign Assets Control",42446631147.541,"BK",54.9099998474121,33.4852676391602,25884844441.9202,1.33757805953543e-06
"Union Pacific Railroad Company","union pacific",23250,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.33395541521599e-06
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","williams companies",53500,2018,2018-01-23,"Pipeline and Hazardous Materials Safety Administration",41647519672.1311,"WMB",34.0299987792969,32.8499984741211,40203379569.6981,1.33073389781201e-06
"Union Pacific Railroad Company","union pacific",24050,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.32735793771871e-06
"McMoRan Oil and Gas LLC","freeport-mcmoran",92000,2022,2022-04-07,"Bureau of Safety and Environmental Enforcement",57309118032.7869,"FCX",39.7200012207031,48.060001373291,69342301276.7239,1.32675146780688e-06
"Union Pacific Railroad Company","union pacific",24000,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.32459835780661e-06
"Union Pacific Railroad Company","union pacific",24000,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.32459835780661e-06
"Compaq Computer Corporation","hp inc.",8000,2002,2002-10-29,"Bureau of Industry and Security",25793542622.9508,"HPQ",29.5599994659424,6.93460512161255,6051016103.15417,1.32209200299928e-06
"Wells Fargo Investments, LLC","wells fargo",150000,2004,2004-11-30,"Financial Industry Regulatory Authority",180655509426.229,"WFC",49.4900016784668,31.1000003814697,113525686432.031,1.32128687977417e-06
"Advanced Micro Devices","advanced micro devices",11000,2008,2008-08-11,"Bureau of Industry and Security",289538969672.131,"AMD",178.289993286133,5.13000011444092,8331005684.48259,1.32036880259111e-06
"Freeport-McMoRan Morenci Inc.","freeport-mcmoran",70000,2008,2008-09-22,"Mine Safety and Health Administration",57309118032.7869,"FCX",39.7200012207031,36.7599983215332,53038343855.7332,1.31979988271133e-06
"Linde North America, Inc.","linde",75000,2017,2017-03-15,"Federal Railroad Administration",1.95585e+11,"LIN",401.279998779297,116.650001525879,56855538820.3817,1.31913269236513e-06
"Santa Fe Snyder Corporation","devon energy",24000,2001,2001-01-30,"Bureau of Safety and Environmental Enforcement",26853269672.1311,"DVN",41.6199989318848,28.2450008392334,18223706004.0971,1.31696593407533e-06
"Delta Air Lines, Inc.","delta air lines",50000,2020,2020-01-09,"Transportation Department Aviation Consumer Protection Division",24722305737.7049,"DAL",38.189998626709,58.8499984741211,38096562117.2651,1.31245438488898e-06
"Union Pacific Railroad Company","union pacific",69300,2015,2015-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,86.5500030517578,53032585022.8036,1.30674376838696e-06
"Union Pacific Railroad Company","union pacific",22750,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.30526820198554e-06
"Southwest Airlines","southwest airlines",50000,2018,2018-01-09,"Transportation Department Aviation Consumer Protection Division",18621681557.377,"LUV",31.1100006103516,64,38308826624.5668,1.30518223619869e-06
"J. P. Morgan Securities Inc.","jpmorgan chase",2e+05,2000,2000-06-06,"Financial Industry Regulatory Authority",495457747131.148,"JPM",170.5,52.9166679382324,153771103122.368,1.30063448813815e-06
"Fastenal Company","fastenal",13616,2015,2015-09-30,"Office of Federal Contract Compliance Programs",39570405327.8689,"FAST",68.8399963378906,18.2450008392334,10487538013.107,1.2983028030967e-06
"Fidelity National Information Services","fidelity national information services",12260,2008,2008-12-31,"Office of Foreign Assets Control",36396156967.2131,"FIS",61.060001373291,15.8599996566772,9453701670.84323,1.29684650805217e-06
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","williams companies",41000,2021,2021-12-15,"Pipeline and Hazardous Materials Safety Administration",41647519672.1311,"WMB",34.0299987792969,25.8799991607666,31673165231.4515,1.29447119352906e-06
"Union Pacific Railroad Company","union pacific",28450,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.29297806740491e-06
"JPMorgan Chase","jpmorgan chase",225000,2016,2016-03-23,"Commodity Futures Trading Commission",495457747131.148,"JPM",170.5,60.2400016784668,175052055828.679,1.28533194845883e-06
"Capital One Bank","capital one financial",49728,2022,2022-09-21,"Justice Department Civil Rights Division",50187818032.7869,"COF",131.089996337891,101.370002746582,38809515553.8427,1.28133524189472e-06
"Union Pacific Railroad Company","union pacific",28100,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.27707148309589e-06
"Union Pacific Railroad","union pacific",32150,2010,2010-09-29,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,41.1500015258789,25214221578.9945,1.27507406481997e-06
"Pogo Producing Co.","freeport-mcmoran",80000,2008,2008-02-08,"Bureau of Safety and Environmental Enforcement",57309118032.7869,"FCX",39.7200012207031,43.5299987792969,62806288049.8984,1.27375781126313e-06
"Union Pacific Railroad Company","union pacific",28000,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.27252674472188e-06
"Compaq Computer Corporation","hp inc.",6000,2002,2002-10-03,"Bureau of Industry and Security",25793542622.9508,"HPQ",29.5599994659424,5.40417814254761,4715592076.46206,1.27237468863116e-06
"Micron Technology Inc.","micron technology",85000,2023,2023-04-20,"Justice Department Civil Rights Division",97028329098.3607,"MU",88.0800018310547,60.6500015258789,66811627901.1502,1.2722336316331e-06
"Union Pacific Railroad","union pacific",33150,2011,2011-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,42.6100006103516,26108820340.9865,1.26968585968474e-06
"CONOCOPHILLIPS ALASKA NATURAL GAS CORP.","conocophillips",28000,2002,2002-12-31,"Pipeline and Hazardous Materials Safety Administration",130891911065.574,"COP",109.669998168945,18.5052337646484,22086126129.3967,1.26776419893446e-06
"Union Pacific Railroad Company","union pacific",22950,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.26664717965257e-06
"WILLIAMS GAS CO","devon energy",20000,2002,2002-10-30,"Pipeline and Hazardous Materials Safety Administration",26853269672.1311,"DVN",41.6199989318848,24.4850006103516,15797749668.0894,1.26600309665616e-06
"Norfolk Southern Railway","norfolk southern",32000,2014,2014-09-29,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,111.309997558594,25300066645.1119,1.26481880260907e-06
"Accenture Federal Services LLC","accenture",137614,2018,2018-09-25,"Office of Federal Contract Compliance Programs",232714086885.246,"ACN",368.899993896484,172.630004882812,108900608891.233,1.26366602906183e-06
"Union Pacific Railroad Company","union pacific",22000,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.26223738213986e-06
"DTE Gas Company","dte energy",15000,2013,2013-05-31,"Federal Energy Regulatory Commission",21229892622.9508,"DTE",102.360000610352,57.4042549133301,11905882772.9945,1.25988137847483e-06
"CSX TRANSPORTATION, INC.","csx",25000,2016,2016-09-30,"Federal Railroad Administration",68308821721.3115,"CSX",34.3899993896484,9.99666690826416,19856369577.2991,1.25904183555192e-06
"Union Pacific Railroad Company","union pacific",27700,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.25889252959986e-06
"Trane Export LLC","trane technologies",5000,2003,2003-10-06,"Bureau of Industry and Security",57649480327.8689,"TT",251.130004882812,17.31907081604,3975771165.90342,1.25761765236402e-06
"Airbnb Payments, Inc.","airbnb inc.",91172,2022,2022-01-03,"Office of Foreign Assets Control",61698887295.082,"ABNB",141.190002441406,166.490005493164,72754783674.8803,1.25314096743687e-06
"Apache Corporation","apa corporation",25000,2005,2005-07-01,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,64.5999984741211,19969032554.4055,1.25193846681794e-06
"Linde, Inc","linde",73072,2013,2013-09-30,"Interior Department Office of Natural Resources Revenue",1.95585e+11,"LIN",401.279998779297,119.860000610352,58420101402.2359,1.25080234792614e-06
"Bear, Stearns & Co., Inc.","jpmorgan chase",150000,2008,2008-01-08,"Financial Industry Regulatory Authority",495457747131.148,"JPM",170.5,41.3400001525879,120130342181.833,1.24864374208604e-06
"Apache Corporation","apa corporation",28000,2006,2006-05-11,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,72.5899963378906,22438885978.8629,1.24783378401119e-06
"Union Pacific Railroad","union pacific",45900,2012,2012-09-26,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,60.189998626709,36880775356.9287,1.24455084134713e-06
"WESTERN REFINING COMPANY","marathon petroleum",27100,2014,2014-11-14,"Federal Railroad Administration",72481548360.6557,"MPC",155.100006103516,46.7750015258789,21858958102.8448,1.23976631788654e-06
"Norfolk Southern Railway","norfolk southern",21850,2013,2013-09-30,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,77.7900009155273,17681180941.9917,1.235777184323e-06
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","williams companies",33700,2018,2018-12-20,"Pipeline and Hazardous Materials Safety Administration",41647519672.1311,"WMB",34.0299987792969,22.3199996948242,27316269753.6646,1.23369699830552e-06
"Union Pacific Railroad Company","union pacific",27100,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.23162409935582e-06
"Verizon Wireless","verizon communications",274000,2021,2021-12-17,"Federal Communications Commission",174437320491.803,"VZ",41.2799987792969,52.75,222906224032.096,1.22921646171956e-06
"Union Pacific Railroad Company","union pacific",21375,2007,2007-09-28,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,28.4449996948242,17429368129.3955,1.22637836560179e-06
"CSX Transportation Inc.","csx",21000,2015,2015-09-30,"Federal Railroad Administration",68308821721.3115,"CSX",34.3899993896484,8.64666652679443,17174865156.881,1.22271702328833e-06
"MUFG Union Bank, National Association","u.s. bancorp",109667,2019,2019-07-29,"Office of the Comptroller of the Currency",66481224180.3279,"USB",42.4799995422363,57.3800010681152,89799735300.9388,1.22123967996656e-06
"Pacific Gas and Electric Company","pg&e corp.",96000,2005,2005-12-20,"Nuclear Regulatory Commission",34837396311.4754,"PCG",16.5300006866455,37.3199996948242,78652847290.1457,1.22055339771568e-06
"Freeport-McMoran Morenci Inc.","freeport-mcmoran",70000,2011,2011-11-03,"Mine Safety and Health Administration",57309118032.7869,"FCX",39.7200012207031,39.7799987792969,57395684172.3,1.21960389547518e-06
"ESPN, Inc.","walt disney",39050,2003,2003-04-04,"Office of Foreign Assets Control",171980792622.951,"DIS",93.5,17.4117240905762,32026546631.3307,1.21930098956715e-06
"CHEVRON PIPE LINE CO","chevron",203700,2011,2011-01-28,"Pipeline and Hazardous Materials Safety Administration",255731292622.951,"CVX",144.919998168945,94.75,167199422316.974,1.21830564470389e-06
"Wal-Mart Stores of Texas, L.L.C.","walmart",150000,2015,2015-02-19,"Equal Employment Opportunity Commission",230136705737.705,"WMT",160.5,86.2900009155273,123728950459.832,1.21232742573612e-06
"Citigroup Global Markets Inc.","citigroup",1115000,2006,2006-08-10,"Financial Industry Regulatory Authority",102457683196.721,"C",53.2599983215332,478.299987792969,920118478533.155,1.21180046484614e-06
"Apache Corporation","apa corporation",24000,2006,2006-03-13,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,64.1500015258789,19829930326.525,1.21029169567465e-06
"KINDER MORGAN LIQUID TERMINALS LLC","kinder morgan",63100,2011,2011-10-12,"Pipeline and Hazardous Materials Safety Administration",32833451639.3443,"KMI",16.8899993896484,26.8500003814697,52195276548.1843,1.20892165293442e-06
"Apache Corporation","apa corporation",30000,2013,2013-01-16,"Bureau of Safety and Environmental Enforcement",9697036885.2459,"APA",31.3700008392334,80.4000015258789,24853100398.8754,1.20709285837663e-06
"Union Pacific Railroad","union pacific",31500,2011,2011-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,42.6100006103516,26108820340.9865,1.20648882594478e-06
"J.P. Morgan Securities LLC","jpmorgan chase",140000,2012,2012-03-08,"Commodity Futures Trading Commission",495457747131.148,"JPM",170.5,39.9500007629395,116091128304.361,1.20594917152459e-06
"Union Pacific Railroad Company","union pacific",26525,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.20549185370528e-06
"Delta Air Lines","delta air lines",40000,2016,2016-12-09,"Transportation Department Aviation Consumer Protection Division",24722305737.7049,"DAL",38.189998626709,51.3499984741211,33241435128.517,1.20331748149119e-06
"Union Pacific Railroad Company","union pacific",21800,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.20317684167434e-06
"Union Pacific Railroad Company","union pacific",26450,2008,2008-09-25,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,35.9099998474121,22003466816.0311,1.20208329992478e-06
"Norfolk Southern Railway","norfolk southern",21175,2013,2013-09-30,"Federal Railroad Administration",53884530737.7049,"NSC",237.070007324219,77.7900009155273,17681180941.9917,1.19760100128327e-06
"EQT MIDSTREAM","eqt corp.",28800,2014,2014-07-01,"Pipeline and Hazardous Materials Safety Administration",14743688934.4262,"EQT",35.6599998474121,58.1927032470703,24059874329.7651,1.19701373354103e-06
"American Airlines","american airlines",20000,2013,2013-12-13,"Transportation Department Aviation Consumer Protection Division",9150319672.13115,"AAL",13.9300003051758,25.4500007629395,16717561919.245,1.19634669795817e-06
"PHILLIPS 66 PIPELINE LLC","phillips 66",62200,2018,2018-05-14,"Pipeline and Hazardous Materials Safety Administration",59112051639.3443,"PSX",133.669998168945,117.76000213623,52076273080.5766,1.19440190936397e-06
"Union Pacific Railroad Company","union pacific",21600,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.19213852202595e-06
"Anadarko Petroleum Corporation","occidental petroleum",70000,2014,2014-10-10,"Bureau of Safety and Environmental Enforcement",38036308606.5574,"OXY",57.310001373291,88.6494216918945,58836096326.4118,1.18974582561788e-06
"Newmont USA Limited","newmont corporation",65000,2012,2012-11-14,"Mine Safety and Health Administration",39948585655.7377,"NEM",34.439998626709,47.189998626709,54737914558.778,1.18747673388621e-06
"Union Pacific Railroad Company","union pacific",21500,2009,2009-09-30,"Federal Railroad Administration",148485106557.377,"UNP",242.330001831055,29.5699996948242,18118699799.4934,1.18661936220176e-06
