"Company","Parent","Penalty","Year","Date","Agency"
"Folgers Coffee Company","J.M. Smucker Co.",2e+05,2016,2016-09-30,"Office of Federal Contract Compliance Programs"
"Fort Myer Construction Corp.",NA,9e+05,2014,2014-09-17,"Office of Federal Contract Compliance Programs"
"G&K Services Co.","Cintas",265983,2013,2013-11-04,"Office of Federal Contract Compliance Programs"
"G&K Services, Inc.","Cintas",1813555,2015,2015-11-19,"Office of Federal Contract Compliance Programs"
"Genco/Petco-Braselton GA",NA,17154,2012,2012-12-31,"Office of Federal Contract Compliance Programs"
"Genco/Sears  McDonough",NA,18503,2012,2012-09-30,"Office of Federal Contract Compliance Programs"
"GE Lighting LLC","Savant Systems",537000,2014,2014-09-11,"Office of Federal Contract Compliance Programs"
"Genlyte Thomas Group, LLC","Elk Group International",275000,2016,2016-10-04,"Office of Federal Contract Compliance Programs"
"S.P Richards Company",NA,240000,2003,2003-12-01,"Office of Federal Contract Compliance Programs"
"Georgia-Pacific Consumer Operations LLC","Koch Industries",749000,2007,2007-08-08,"Office of Federal Contract Compliance Programs"
"Gerber Products Co.","Nestle",9e+05,2009,2009-08-18,"Office of Federal Contract Compliance Programs"
"Getty Images",NA,64418,2014,2014-08-29,"Office of Federal Contract Compliance Programs"
"GMI Plano",NA,10446,2013,2013-01-31,"Office of Federal Contract Compliance Programs"
"Goodman Food Products, Inc.",NA,57951,2011,2011-11-30,"Office of Federal Contract Compliance Programs"
"Goodwill Industries of Southern California",NA,130000,2013,2013-04-25,"Office of Federal Contract Compliance Programs"
"Goodyear Tire & Rubber Company","Goodyear Tire & Rubber",925000,2006,2006-12-19,"Office of Federal Contract Compliance Programs"
"Gordon Food Service, Inc.","Gordon Food Service",1850000,2016,2016-05-11,"Office of Federal Contract Compliance Programs"
"Green Bay Dressed Beef LLC","Rosen's Diversified",1650000,2011,2011-02-03,"Office of Federal Contract Compliance Programs"
"H&L Construction",NA,12136,2013,NA,"Office of Federal Contract Compliance Programs"
"Halliburton Energy Services","Halliburton",18435,2011,2011-02-18,"Office of Federal Contract Compliance Programs"
"Hargrove, Inc",NA,6699,2015,2015-09-30,"Office of Federal Contract Compliance Programs"
"Harlan Laboratories",NA,15684,2011,2011-09-30,"Office of Federal Contract Compliance Programs"
"HDR Engineering, Inc.",NA,18459,2012,2012-07-31,"Office of Federal Contract Compliance Programs"
"Hickory Springs Manufacturing Co.",NA,75000,2008,2008-06-09,"Office of Federal Contract Compliance Programs"
"Hillcrest Care Center",NA,18719,2013,2013-10-31,"Office of Federal Contract Compliance Programs"
"Hillshire Brands Co.","Tyson Foods",330000,2014,2014-09-18,"Office of Federal Contract Compliance Programs"
"HiRel Connectors",NA,11992,2011,2011-06-30,"Office of Federal Contract Compliance Programs"
"Hitco Carbon Composites, Incorporated",NA,6185,2012,2012-01-31,"Office of Federal Contract Compliance Programs"
"The Home Depot","Home Depot",83400,2015,2015-10-01,"Office of Federal Contract Compliance Programs"
"Hormel Foods Corp.","Hormel Foods",550000,2016,2016-12-20,"Office of Federal Contract Compliance Programs"
"Hospira Inc.","Pfizer",4e+05,2015,2015-10-13,"Office of Federal Contract Compliance Programs"
"Houston Rapid Transit",NA,225000,2014,2014-10-31,"Office of Federal Contract Compliance Programs"
"Hewlett-Packard Co.","Hewlett Packard Enterprise",750000,2016,2016-09-21,"Office of Federal Contract Compliance Programs"
"Hubbard Construction","Vinci",12206,2012,2012-06-30,"Office of Federal Contract Compliance Programs"
"Hunt Forest Forest Products Inc.",NA,3e+05,2008,2008-11-21,"Office of Federal Contract Compliance Programs"
"Igloo Products",NA,236903,2006,2006-01-05,"Office of Federal Contract Compliance Programs"
"Integris","Integris Health",232690,2016,2016-06-30,"Office of Federal Contract Compliance Programs"
"InterCall","Apollo Global Management",7e+05,2011,2011-02-28,"Office of Federal Contract Compliance Programs"
"Intertek U.S.A., Inc.",NA,28074,2013,2013-07-31,"Office of Federal Contract Compliance Programs"
"IRIS International","Danaher",102486,2011,2011-09-07,"Office of Federal Contract Compliance Programs"
"Iron Mountain Info Management","Iron Mountain",6501,2012,2012-03-26,"Office of Federal Contract Compliance Programs"
"JacintoPort International LLC","Seaboard Corp.",219000,2012,2012-01-12,"Office of Federal Contract Compliance Programs"
"Jackson Products Inc.",NA,171412,2008,2008-10-06,"Office of Federal Contract Compliance Programs"
"Jacobs Technology Inc.","Jacobs Solutions",6678,2011,2011-03-16,"Office of Federal Contract Compliance Programs"
"J.B. Laboratories Inc.",NA,215000,2008,2008-06-06,"Office of Federal Contract Compliance Programs"
"JBS Swift & Co.","JBS",2e+05,2007,2007-10-03,"Office of Federal Contract Compliance Programs"
"Jennie-O Turkey Store Inc.","Hormel Foods",491861,2016,2016-06-21,"Office of Federal Contract Compliance Programs"
"John Q. Hammons Hotels Management, LLC",NA,47000,2017,2017-01-27,"Office of Federal Contract Compliance Programs"
"John W. Stone Oil Distributor, LLC",NA,3e+05,2017,2017-03-21,"Office of Federal Contract Compliance Programs"
"Johns Hopkins","Johns Hopkins University",81938,2014,2014-12-12,"Office of Federal Contract Compliance Programs"
"Johns Hopkins University","Johns Hopkins University",359253,2015,2015-01-22,"Office of Federal Contract Compliance Programs"
"Kappler Inc.",NA,5500,2017,2017-05-17,"Office of Federal Contract Compliance Programs"
"Kimball Electron",NA,12177,2011,2011-09-30,"Office of Federal Contract Compliance Programs"
"Koniag Services, Inc.",NA,16579,2012,2012-09-30,"Office of Federal Contract Compliance Programs"
"KPMG LLP","KPMG",420000,2017,2017-06-07,"Office of Federal Contract Compliance Programs"
"L&M Construction",NA,113000,2013,2013-07-29,"Office of Federal Contract Compliance Programs"
"La Pac Manufacturing",NA,235000,2015,2015-07-31,"Office of Federal Contract Compliance Programs"
"La Pac Manufacturing Inc.",NA,235000,2015,2015-07-30,"Office of Federal Contract Compliance Programs"
"La Quinta Resort",NA,6720,2010,2010-12-31,"Office of Federal Contract Compliance Programs"
"La-Z-Boy West","La-Z-Boy",83251,2007,2007-12-11,"Office of Federal Contract Compliance Programs"
"Lahey Clinic Hospital, Inc.","Beth Israel Lahey Health",190000,2015,2015-02-12,"Office of Federal Contract Compliance Programs"
"Land O' Lakes, Inc.","Land O'Lakes",42000,2017,2017-03-20,"Office of Federal Contract Compliance Programs"
"LandCare USA, LLC",NA,161899,2016,2016-10-18,"Office of Federal Contract Compliance Programs"
"Lane Construction",NA,11780,2011,2011-05-30,"Office of Federal Contract Compliance Programs"
"Leprino Foods Inc.","Leprino Foods",550000,2012,2012-09-19,"Office of Federal Contract Compliance Programs"
"LexisNexis Risk Solutions","RELX Group",1245000,2017,2017-01-12,"Office of Federal Contract Compliance Programs"
"Lincoln Electric Co.","Lincoln Electric Holdings",1e+06,2014,2014-06-12,"Office of Federal Contract Compliance Programs"
"LJT & Associates",NA,65000,2015,2015-09-30,"Office of Federal Contract Compliance Programs"
"Lovin Oven",NA,19446,2011,2011-05-04,"Office of Federal Contract Compliance Programs"
"Capco, LLC",NA,15000,2018,2018-09-10,"Office of Federal Contract Compliance Programs"
"Penske Truck Leasing Co., L.P.","Penske Truck Leasing",3e+05,2018,2018-09-27,"Office of Federal Contract Compliance Programs"
"Loomis Armored US LLC","Loomis",18602,2018,2018-06-08,"Office of Federal Contract Compliance Programs"
"LZB Manufacturing, Inc.","La-Z-Boy",90447,2015,2015-09-24,"Office of Federal Contract Compliance Programs"
"Maxfield Candy Company",NA,93727,2015,2015-05-30,"Office of Federal Contract Compliance Programs"
"M.C. Dean Inc.",NA,875000,2013,2013-10-30,"Office of Federal Contract Compliance Programs"
"McClendon Enterprises, Inc.",NA,11708,2012,2012-08-31,"Office of Federal Contract Compliance Programs"
"Crown Equipment Corporation","Crown Equipment",85000,2021,2021-02-18,"Office of Federal Contract Compliance Programs"
"Medline Industries, Inc.","Medline Industries",47480,2017,2017-01-27,"Office of Federal Contract Compliance Programs"
"Medtronic Interventional Vascular Inc.","Medtronic",290000,2013,2013-09-23,"Office of Federal Contract Compliance Programs"
"Meggitt Training Systems",NA,6023,2011,2011-11-30,"Office of Federal Contract Compliance Programs"
"Meyer Tool Inc.",NA,325000,2012,2012-09-17,"Office of Federal Contract Compliance Programs"
"MicroSystems",NA,5026,2013,2013-01-31,"Office of Federal Contract Compliance Programs"
"Milspray, LLC",NA,6550,2012,2012-06-29,"Office of Federal Contract Compliance Programs"
"Monterey Mushrooms","Monterey Mushrooms",26598,2013,2013-08-31,"Office of Federal Contract Compliance Programs"
"Murray Guard",NA,2e+05,2016,2016-06-30,"Office of Federal Contract Compliance Programs"
"Naphcare Incorporated",NA,62834,2012,2012-07-31,"Office of Federal Contract Compliance Programs"
"Navmar Applied Sciences",NA,116666,2015,2015-09-30,"Office of Federal Contract Compliance Programs"
"Nebraska Medical Center",NA,275000,2017,2017-05-09,"Office of Federal Contract Compliance Programs"
"Nestle USA Prepared Foods Division Inc.","Nestle",120000,2006,2006-03-16,"Office of Federal Contract Compliance Programs"
"New Breed Logistics, Inc.","GXO Logistics",90000,2015,2015-07-09,"Office of Federal Contract Compliance Programs"
"Nextera Energy Inc.","NextEra Energy",17111,2012,2012-07-03,"Office of Federal Contract Compliance Programs"
"Nishimoto Trading Co.",NA,4e+05,2011,2011-11-17,"Office of Federal Contract Compliance Programs"
"Norfolk Southern Corp.","Norfolk Southern",492000,2016,2016-07-05,"Office of Federal Contract Compliance Programs"
"North Florida Regional Medical Center","HCA Healthcare",25230,2015,2015-02-11,"Office of Federal Contract Compliance Programs"
"Novartis Pharmaceuticals","Novartis",51594,2013,2013-02-25,"Office of Federal Contract Compliance Programs"
"Oil State Skagit Smatco, LLC","Oil States International",65000,2017,2017-02-15,"Office of Federal Contract Compliance Programs"
"Omega Apparel",NA,252225,2012,2012-04-30,"Office of Federal Contract Compliance Programs"
"Oral Arts Laboratory",NA,19210,2015,2015-05-30,"Office of Federal Contract Compliance Programs"
"Oral Arts Laboratory Inc.",NA,115000,2015,2015-05-27,"Office of Federal Contract Compliance Programs"
"Overnite Transportation","TFI International",232250,2006,2006-10-31,"Office of Federal Contract Compliance Programs"
"Pacific Seafood",NA,82174,2016,2016-06-30,"Office of Federal Contract Compliance Programs"
"Palace Laundry, Inc.",NA,69238,2014,2014-12-31,"Office of Federal Contract Compliance Programs"
"Palama Holdings",NA,26339,2013,2013-05-30,"Office of Federal Contract Compliance Programs"
"Palantir Technologies Inc","Palantir Technologies",1659434,2017,2017-04-25,"Office of Federal Contract Compliance Programs"
"Papich Construction Co.",NA,22613,2012,2012-04-30,"Office of Federal Contract Compliance Programs"
"Parsons Brinckerhoff","WSP Global",188043,2014,2014-05-08,"Office of Federal Contract Compliance Programs"
"NCS Pearson Inc.","Pearson",1e+05,2012,2012-03-15,"Office of Federal Contract Compliance Programs"
"Perdue Farms Inc.","Perdue",8e+05,2008,2008-06-11,"Office of Federal Contract Compliance Programs"
"Pilgrim's Pride Corp.","JBS",1e+06,2007,2007-10-03,"Office of Federal Contract Compliance Programs"
"Praxai Distribution","Linde",7800,2011,2011-06-30,"Office of Federal Contract Compliance Programs"
"Prologix Distribution Services (East), LLC",NA,93547,2010,2010-12-31,"Office of Federal Contract Compliance Programs"
"ProMaxima",NA,39152,2014,2014-03-31,"Office of Federal Contract Compliance Programs"
"Qualcomm Inc.","Qualcomm",19500000,2017,2017-03-06,"Office of Federal Contract Compliance Programs"
"ResCare HomeCare Spokane","KKR & Co.",92059,2013,2013-09-12,"Office of Federal Contract Compliance Programs"
"Reynolds Consumer Products, LLC","Rank Group",86000,2016,2016-02-09,"Office of Federal Contract Compliance Programs"
"Rochester Institute of Technology",NA,83909,2014,2014-03-31,"Office of Federal Contract Compliance Programs"
"Rockwell Collins","RTX Corporation",105911,2013,2013-10-30,"Office of Federal Contract Compliance Programs"
"Rotech Healthcare, Inc.","Rotech Healthcare",7766,2012,2012-11-27,"Office of Federal Contract Compliance Programs"
"Sabre, Inc.","Sabre Corp.",7136,2009,2009-10-01,"Office of Federal Contract Compliance Programs"
"Saint Vincent Health System","Allegheny Health Network",7424,2012,2012-11-30,"Office of Federal Contract Compliance Programs"
"San Diego State University",NA,25517,2011,2011-06-30,"Office of Federal Contract Compliance Programs"
"Sara Lee Bakery Group","Bimbo Group",37015,2010,2010-07-13,"Office of Federal Contract Compliance Programs"
"Savannah River Nuclear Solutions","Savannah River Nuclear Solutions LLC",234895,2015,2015-08-12,"Office of Federal Contract Compliance Programs"
"Schwan's Global Supply Chain, Inc.","CJ Group",310000,2015,2015-12-02,"Office of Federal Contract Compliance Programs"
"Scroll Technologies","Danfoss",2e+05,2008,2008-07-11,"Office of Federal Contract Compliance Programs"
"Sears, Roebuck and Co.","Sears",107500,2016,2016-09-30,"Office of Federal Contract Compliance Programs"
"Setex Inc.",NA,293760,2017,2017-05-02,"Office of Federal Contract Compliance Programs"
"SF Recycling & Disposal, Inc.",NA,5405,2012,2012-07-31,"Office of Federal Contract Compliance Programs"
"Shamrock Foods","Shamrock Foods",816781,2007,2007-09-18,"Office of Federal Contract Compliance Programs"
"Shaw Maintenance, Inc.",NA,7558,2013,2013-04-23,"Office of Federal Contract Compliance Programs"
"Shaw SSS Fabricators","Brookfield Asset Management",210000,2015,2015-06-19,"Office of Federal Contract Compliance Programs"
"Shell Exploration","Shell PLC",50000,2006,2006-10-20,"Office of Federal Contract Compliance Programs"
"Simmons First National Bank","Simmons First National Corp.",360187,2010,2010-07-30,"Office of Federal Contract Compliance Programs"
"Sno-White Linen & Uniform Rental",NA,70000,2017,2017-04-20,"Office of Federal Contract Compliance Programs"
"Southern Air, Inc.",NA,121500,2014,2014-06-30,"Office of Federal Contract Compliance Programs"
"Southern Glazer's Wine and Spirits of Louisiana, LLC","Southern Glazer's Wine & Spirits",175000,2017,2017-01-09,"Office of Federal Contract Compliance Programs"
"Sparks Regional Medical Center",NA,68710,2015,NA,"Office of Federal Contract Compliance Programs"
"Splunk, Inc.","Splunk Inc.",2700000,2017,2017-01-19,"Office of Federal Contract Compliance Programs"
"Spring Lake Nursing Center",NA,15675,2012,2012-11-30,"Office of Federal Contract Compliance Programs"
"Standard Insurance Company","Meiji Yasuda Life Insurance",18505,2011,2011-04-21,"Office of Federal Contract Compliance Programs"
"Sunoco Inc.","Energy Transfer",250000,2000,2000-02-29,"Office of Federal Contract Compliance Programs"
"Swift & Staley Mechanical Contractors",NA,24893,2009,2009-12-31,"Office of Federal Contract Compliance Programs"
"Taylor Engineering",NA,5437,2010,2010-06-30,"Office of Federal Contract Compliance Programs"
"Telcordia Technologies","Ericsson",20500,2013,2013-05-14,"Office of Federal Contract Compliance Programs"
"Tetra Applied Technologies LLC",NA,145000,2007,2007-10-04,"Office of Federal Contract Compliance Programs"
"Texas Industrial Security",NA,102000,2015,2015-09-30,"Office of Federal Contract Compliance Programs"
"ThyssenKrupp Elevator Manufacturing Inc.","TK Elevator",288333,2011,2011-06-16,"Office of Federal Contract Compliance Programs"
"TNT Crust Green Bay",NA,188000,2008,2008-07-14,"Office of Federal Contract Compliance Programs"
"Tufts Associated Health Plans Inc.",NA,372739,2013,2013-07-17,"Office of Federal Contract Compliance Programs"
"TurboCombustor Technology Inc.","Carlyle Group",25486,2011,2011-01-24,"Office of Federal Contract Compliance Programs"
"Tyson Foods Inc.","Tyson Foods",1500000,2006,2006-09-27,"Office of Federal Contract Compliance Programs"
"Tyson Foods, Inc.","Tyson Foods",1582400,2016,2016-09-30,"Office of Federal Contract Compliance Programs"
"Tyson Foods, Inc.","Tyson Foods",1400000,2016,2016-10-04,"Office of Federal Contract Compliance Programs"
"Tyson Fresh Meats Inc.","Tyson Foods",2250000,2011,2011-09-20,"Office of Federal Contract Compliance Programs"
"Tyson Refrigerated Processed Meats Inc.","Tyson Foods",560000,2010,2010-10-21,"Office of Federal Contract Compliance Programs"
"Unifirst Corporation","UniFirst",75000,2017,2017-01-27,"Office of Federal Contract Compliance Programs"
"United Mailing Services",NA,120000,2015,2015-08-24,"Office of Federal Contract Compliance Programs"
"United Mailing Services, Inc.",NA,98208,2015,2015-08-31,"Office of Federal Contract Compliance Programs"
"Universal Sodexho","Sodexo",788877,2007,2007-03-05,"Office of Federal Contract Compliance Programs"
"University of California, Riverside","University of California",189298,2014,2014-11-06,"Office of Federal Contract Compliance Programs"
"VF Imagewear, Inc.","VF Corp.",93000,2015,2015-04-13,"Office of Federal Contract Compliance Programs"
"VF Imagewear, Inc.","VF Corp.",67867,2009,2009-11-30,"Office of Federal Contract Compliance Programs"
"Vought Aircraft Industries Inc.","Triumph Group",1500000,2008,2008-04-18,"Office of Federal Contract Compliance Programs"
"Wackenhut Corp. dba G4S Wackenhut","Allied Universal Security Services",290000,2010,2010-06-09,"Office of Federal Contract Compliance Programs"
"Walgreens Corporation","Walgreens Boots Alliance",15000,2015,2015-09-18,"Office of Federal Contract Compliance Programs"
"Walsh Construction","Walsh Group",15757,2013,2013-03-21,"Office of Federal Contract Compliance Programs"
"Wells Fargo","Wells Fargo",14000,2015,2015-01-16,"Office of Federal Contract Compliance Programs"
"Westat Inc.","Westat",1500000,2014,2014-09-10,"Office of Federal Contract Compliance Programs"
"Western Filter Corp",NA,55400,2010,2010-03-30,"Office of Federal Contract Compliance Programs"
"Weyerhaeuser Company","Weyerhaeuser",256000,2003,2003-12-01,"Office of Federal Contract Compliance Programs"
"Whirlpool Corporation","Whirlpool Corp.",850000,2005,2005-08-10,"Office of Federal Contract Compliance Programs"
"Wyle TE&R West",NA,110150,2011,2011-10-31,"Office of Federal Contract Compliance Programs"
"Xerox","Xerox",33387,2015,2015-09-28,"Office of Federal Contract Compliance Programs"
"Zacky Farms",NA,235000,2008,2008-07-15,"Office of Federal Contract Compliance Programs"
"Zoological Society of San Diego",NA,32027,2007,2007-07-17,"Office of Federal Contract Compliance Programs"
"Derst Baking Company","Flowers Foods",133282,2017,2017-08-21,"Office of Federal Contract Compliance Programs"
"Laboratory Corporation of America","Laboratory Corp. of America",51015,2017,2017-08-18,"Office of Federal Contract Compliance Programs"
"B&H Foto",NA,3220000,2017,2017-08-11,"Office of Federal Contract Compliance Programs"
"Sodexo Inc.","Sodexo",105000,2017,2017-10-26,"Office of Federal Contract Compliance Programs"
"Intertek U.S.A. Inc.",NA,465000,2017,2017-10-11,"Office of Federal Contract Compliance Programs"
"CB&I","McDermott International",1950000,2017,2017-10-10,"Office of Federal Contract Compliance Programs"
"State Street Corporation","State Street Corp.",4492174,2017,2017-09-29,"Office of Federal Contract Compliance Programs"
"Kulite Semiconductor Products Inc.",NA,195000,2017,2017-09-28,"Office of Federal Contract Compliance Programs"
"CoreCivic Inc.","CoreCivic",313346,2017,2017-09-26,"Office of Federal Contract Compliance Programs"
"International Paper Inc.","International Paper",347642,2017,2017-09-26,"Office of Federal Contract Compliance Programs"
"US Foods","US Foods Holding",164253,2017,2017-12-15,"Office of Federal Contract Compliance Programs"
"LandCare USA LLC",NA,1e+05,2017,2017-11-03,"Office of Federal Contract Compliance Programs"
"Birds Eye Foods","ConAgra Brands",269000,2017,2017-12-20,"Office of Federal Contract Compliance Programs"
"Fastenal Company","Fastenal",250000,2018,2018-03-05,"Office of Federal Contract Compliance Programs"
"GGNSC Omaha Hallmark LLC dba Golden Living Care Omaha",NA,125000,2018,2018-02-21,"Office of Federal Contract Compliance Programs"
"The Procaccianti Group et al. dba St. Louis Marriott West",NA,1e+05,2018,2018-02-21,"Office of Federal Contract Compliance Programs"
"Hillshire Brands Company","Tyson Foods",275000,2017,2017-12-20,"Office of Federal Contract Compliance Programs"
"Humana Inc.","Humana",2500000,2018,2018-03-19,"Office of Federal Contract Compliance Programs"
"Cordis Corporation","Cardinal Health",340382,2018,2018-04-25,"Office of Federal Contract Compliance Programs"
"Aramark Educational Services LLC","Aramark",44500,2018,2018-05-15,"Office of Federal Contract Compliance Programs"
"Children's Hospital of Philadelphia",NA,50000,2018,2018-06-01,"Office of Federal Contract Compliance Programs"
"Dell-EMC","Dell Technologies",2925000,2018,2018-04-27,"Office of Federal Contract Compliance Programs"
"Five Star Quality Care","AlerisLife",50000,2018,2018-05-16,"Office of Federal Contract Compliance Programs"
"General Electric","General Electric",284881,2018,2018-04-09,"Office of Federal Contract Compliance Programs"
"Roche Diagnostics Corporation","Roche",261782,2018,2018-06-26,"Office of Federal Contract Compliance Programs"
"Home Depot","Home Depot",85064,2015,2015-08-10,"Office of Federal Contract Compliance Programs"
"Covance Inc.","Laboratory Corp. of America",195000,2016,2016-09-30,"Office of Federal Contract Compliance Programs"
"Vulcan Information Packaging",NA,56000,2017,2017-05-25,"Office of Federal Contract Compliance Programs"
"Millcroft Senior Living",NA,50000,2017,2017-09-27,"Office of Federal Contract Compliance Programs"
"Paker Chomerics Woburn",NA,86450,2017,2017-01-19,"Office of Federal Contract Compliance Programs"
"LoanCare, LLC",NA,212665,2017,2017-09-11,"Office of Federal Contract Compliance Programs"
"Leidos Inc.","Leidos",131612,2017,2017-06-28,"Office of Federal Contract Compliance Programs"
"CareFusion Corporation","Becton Dickinson",15908,2016,2016-12-15,"Office of Federal Contract Compliance Programs"
"Capco, LLC",NA,55000,2017,2017-01-10,"Office of Federal Contract Compliance Programs"
"Bermudez Longo Diaz?Masso, LLC",NA,120000,2017,2017-02-15,"Office of Federal Contract Compliance Programs"
"University of Maryland",NA,150000,2018,2018-03-20,"Office of Federal Contract Compliance Programs"
"Sterling Heritage Corporation",NA,55140,2018,2018-04-06,"Office of Federal Contract Compliance Programs"
"Starwood Hotels & Resorts","Marriott International",84112,2017,2017-10-10,"Office of Federal Contract Compliance Programs"
"PPL Electric Utilities Corporation","PPL Corp.",185304,2018,2018-07-13,"Office of Federal Contract Compliance Programs"
"Parker Hannifin Corporation Composite Sealing Systems","Parker-Hannifin",222000,2018,2018-07-31,"Office of Federal Contract Compliance Programs"
"Maytag Aircraft Corporation",NA,42402,2018,2018-02-01,"Office of Federal Contract Compliance Programs"
"Integra LifeSciences Corporation","Integra LifeSciences",25000,2018,2018-03-20,"Office of Federal Contract Compliance Programs"
"Fort Myer Construction Corporation",NA,108870,2018,2018-08-31,"Office of Federal Contract Compliance Programs"
"DJE Holdings, Inc. (Edelman)",NA,297832,2018,2018-05-07,"Office of Federal Contract Compliance Programs"
"Amgen, Inc.","Amgen",283701,2018,2018-03-05,"Office of Federal Contract Compliance Programs"
"Accuweather, Inc.",NA,290000,2018,2018-06-19,"Office of Federal Contract Compliance Programs"
"U.S. Security Associates, Inc. (USSA)","Allied Universal Security Services",275000,2018,2018-09-28,"Office of Federal Contract Compliance Programs"
"The Hillshire Brands Company (Sara Lee Food)","Tyson Foods",350000,2018,2018-09-28,"Office of Federal Contract Compliance Programs"
"SP Plus Corporation","SP Plus Corporation",52000,2018,2018-09-27,"Office of Federal Contract Compliance Programs"
"Powell Electrical Systems, Inc.","Powell Industries",275000,2018,2018-09-28,"Office of Federal Contract Compliance Programs"
"Performance Food Group","Performance Food Group",599989,2018,2018-09-28,"Office of Federal Contract Compliance Programs"
"Omnicare of Northern Illinois","CVS Health",270720,2018,2018-09-24,"Office of Federal Contract Compliance Programs"
"MVM, Inc.","MVM Inc.",250000,2018,2018-09-27,"Office of Federal Contract Compliance Programs"
"Meggitt (Erlanger), LLC",NA,153804,2018,2018-09-07,"Office of Federal Contract Compliance Programs"
"LabCorp","Laboratory Corp. of America",95648,2018,2018-09-13,"Office of Federal Contract Compliance Programs"
"Johns Hopkins Wilmer Eye Institute","Johns Hopkins Medicine",119000,2018,2018-09-27,"Office of Federal Contract Compliance Programs"
"Ira Green, Inc.",NA,75000,2018,2018-09-30,"Office of Federal Contract Compliance Programs"
"ICON Government and Public Health Solutions, Inc.",NA,20000,2018,2018-08-28,"Office of Federal Contract Compliance Programs"
"Ft. Myer Construction Corporation",NA,10005,2018,2018-08-30,"Office of Federal Contract Compliance Programs"
"Accenture Federal Services LLC","Accenture",137614,2018,2018-09-25,"Office of Federal Contract Compliance Programs"
"Waste Connections of Missouri, Inc.","Waste Connections Inc.",246386,2018,2018-10-09,"Office of Federal Contract Compliance Programs"
"JBS USA LUX S.A. and Swift Beef Company","JBS",4e+06,2018,2018-11-14,"Office of Federal Contract Compliance Programs"
"Crothall Laundry Services, Inc.","H.I.G. Capital",72000,2018,2018-11-13,"Office of Federal Contract Compliance Programs"
"Coastal International Security, Inc.",NA,409947,2018,2018-10-22,"Office of Federal Contract Compliance Programs"
"A'viands, LLC Food and Service Management",NA,399000,2018,2018-10-17,"Office of Federal Contract Compliance Programs"
"Oldcastle BuildingEnvelope, Inc.","CRH PLC",395000,2018,2018-11-19,"Office of Federal Contract Compliance Programs"
"Asplundh Tree Expert Company","Asplundh Tree Expert",55000,2019,2019-01-24,"Office of Federal Contract Compliance Programs"
"GEO Joe Corley Detention Center","GEO Group",250000,2019,2019-03-01,"Office of Federal Contract Compliance Programs"
"SAIC","Science Applications International Corp. (SAIC)",1e+05,2018,2018-10-01,"Office of Federal Contract Compliance Programs"
"Valley Baptist Medical Center",NA,190000,2019,2019-01-23,"Office of Federal Contract Compliance Programs"
"US Foods, Inc.","US Foods Holding",32817,2019,2019-04-30,"Office of Federal Contract Compliance Programs"
"GE Aviation","General Electric",48911,2019,2019-04-03,"Office of Federal Contract Compliance Programs"
"Ben E. Keith Company (BEK Foods and BEK Beverage)","Ben E. Keith Company",175000,2019,2019-05-29,"Office of Federal Contract Compliance Programs"
"Cintas Corporation","Cintas",234984,2019,2019-08-01,"Office of Federal Contract Compliance Programs"
"Coca Cola Refreshments USA, Inc.","Coca-Cola Co.",113706,2019,2019-08-05,"Office of Federal Contract Compliance Programs"
"Coca Cola Refreshments USA, Inc.","Coca-Cola Co.",118086,2019,2019-05-23,"Office of Federal Contract Compliance Programs"
"Conduent Commercial Solutions","Conduent",175000,2019,2019-08-01,"Office of Federal Contract Compliance Programs"
"Consolidated Diesel, Inc.","Cummins",50000,2019,2019-06-13,"Office of Federal Contract Compliance Programs"
"Huntington Ingalls Corporation","Huntington Ingalls Industries",149050,2019,2019-07-25,"Office of Federal Contract Compliance Programs"
"Kforce Incorporated","Kforce Inc.",188804,2019,2019-07-05,"Office of Federal Contract Compliance Programs"
"Northwest Protection Service, LP",NA,165000,2019,2019-06-27,"Office of Federal Contract Compliance Programs"
"Performance Food Group","Performance Food Group",599989,2019,2019-07-23,"Office of Federal Contract Compliance Programs"
"Thomas Jefferson University",NA,299000,2019,2019-07-02,"Office of Federal Contract Compliance Programs"
"US Foods, Inc.","US Foods Holding",116600,2019,2019-07-25,"Office of Federal Contract Compliance Programs"
"Northern Indiana Public Service Corporation","NiSource",1e+06,2019,2019-10-18,"Office of Federal Contract Compliance Programs"
"American Airlines","American Airlines",296000,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"Intel Corporation","Intel",3500000,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"KPMG, LLP","KPMG",90000,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"Learjet, Inc.","Bombardier",45093,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"Quest Diagnostics, Inc.","Quest Diagnostics",95000,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"Sodexo Inc.","Sodexo",50000,2019,2019-09-30,"Office of Federal Contract Compliance Programs"
"CoStar Realty Information, Inc.",NA,249000,2019,2019-09-27,"Office of Federal Contract Compliance Programs"
"Dell Technologies, Inc.","Dell Technologies",5455817,2019,2019-09-27,"Office of Federal Contract Compliance Programs"
"DuPont Specialty Products USA, LLC","DuPont de Nemours",260000,2019,2019-09-27,"Office of Federal Contract Compliance Programs"
"Frontier Communications Corporation","Frontier Communications",1e+05,2019,2019-09-27,"Office of Federal Contract Compliance Programs"
"Goldman Sachs","Goldman Sachs",9995000,2019,2019-09-27,"Office of Federal Contract Compliance Programs"
